# Timestamp, Latitude, Longitude, Accuracy, Speed
#Journey Start
1436404222507,-36.91208788,174.86838381,9.0,15.532225
1436404223524,-36.91211953,174.86821017,9.0,15.781714
1436404224505,-36.91214903,174.86803535,10.0,16.28074
1436404225493,-36.91216729,174.86784692,10.0,16.530275
1436404226494,-36.91217049,174.86765958,10.0,16.530275
1436404227515,-36.91216905,174.86746275,10.0,16.28074
1436404228517,-36.91214198,174.86728314,10.0,16.28074
1436404229503,-36.9121116,174.86711557,10.0,15.781714
1436404230525,-36.91207911,174.8669448,10.0,15.532225
1436404231510,-36.9120258,174.86681689,9.0,14.783859
1436404232502,-36.91199422,174.86666205,10.0,14.035668
1436404233531,-36.91196908,174.8665188,10.0,13.536986
1436404234497,-36.91194444,174.86637561,10.0,13.287683
1436404235487,-36.91192185,174.86624211,10.0,12.290749
1436404236533,-36.91189986,174.8661086,10.0,11.792477
1436404237498,-36.91187469,174.86598236,10.0,11.792477
1436404238511,-36.91185249,174.86584166,10.0,12.0415945
1436404239496,-36.91183297,174.86570042,10.0,12.539936
1436404240521,-36.91181975,174.86555204,5.0,12.789156
1436404241488,-36.91179686,174.86540827,4.0,13.287683
1436404242494,-36.91177498,174.86526169,4.0,13.536986
1436404243513,-36.91175093,174.86510973,4.0,13.287683
1436404244492,-36.91172881,174.86495585,4.0,13.786316
1436404245495,-36.91170676,174.8648141,4.0,13.786316
1436404246487,-36.91168311,174.86465717,4.0,13.786316
1436404247492,-36.91165942,174.86450968,5.0,14.035668
1436404248491,-36.91163738,174.86434964,4.0,14.285045
1436404249493,-36.91161243,174.86420798,4.0,13.786316
1436404250489,-36.91158773,174.86406077,5.0,13.536986
1436404251489,-36.91156672,174.86390998,5.0,13.287683
1436404252492,-36.91154854,174.86376645,5.0,13.038404
1436404253488,-36.91152853,174.86363651,5.0,12.789156
1436404254486,-36.91150156,174.86349436,5.0,12.290749
1436404255491,-36.91146202,174.86341471,4.0,11.792477
1436404256492,-36.91143993,174.86326861,4.0,11.543396
1436404257490,-36.91141454,174.86315151,4.0,11.045361
1436404258494,-36.91140493,174.86305484,4.0,9.552486
1436404259505,-36.91138212,174.86297794,4.0,8.310385
1436404260494,-36.91137477,174.86290785,4.0,7.071068
1436404261498,-36.91136531,174.86284854,4.0,5.836309
